match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
PAK vs ENG,PAK,1,Mohammad Rizwan,15,14,0,1,107.14,out,T20I # 1879
PAK vs ENG,PAK,2,Babar Azam,32,28,2,0,114.28,out,T20I # 1879
PAK vs ENG,PAK,3,Mohammad Haris,8,12,1,0,66.66,out,T20I # 1879
PAK vs ENG,PAK,4,Shan Masood,38,28,2,1,135.71,out,T20I # 1879
PAK vs ENG,PAK,5,Iftikhar Ahmed,0,6,0,0,0.00,out,T20I # 1879
PAK vs ENG,PAK,6,Shadab Khan,20,14,2,0,142.85,out,T20I # 1879
PAK vs ENG,PAK,7,Mohammad Nawaz,5,7,0,0,71.42,out,T20I # 1879
PAK vs ENG,PAK,8,Mohammad Wasim,4,8,0,0,50.00,out,T20I # 1879
PAK vs ENG,PAK,9,Shaheen Shah Afridi,5,3,1,0,166.66,not_out,T20I # 1879
PAK vs ENG,PAK,10,Haris Rauf,1,1,0,0,100.00,not_out,T20I # 1879
PAK vs ENG,ENG,1,Jos Buttler,26,17,3,1,152.94,out,T20I # 1879
PAK vs ENG,ENG,2,Alex Hales,1,2,0,0,50.00,out,T20I # 1879
PAK vs ENG,ENG,3,Phil Salt,10,9,2,0,111.11,out,T20I # 1879
PAK vs ENG,ENG,4,Ben Stokes,52,49,5,1,106.12,not_out,T20I # 1879
PAK vs ENG,ENG,5,Harry Brook,20,23,1,0,86.95,out,T20I # 1879
PAK vs ENG,ENG,6,Moeen Ali,19,13,3,0,146.15,out,T20I # 1879
PAK vs ENG,ENG,7,Liam Livingstone,1,1,0,0,100.00,not_out,T20I # 1879
IND vs ENG,IND,1,KL Rahul,5,5,1,0,100.00,out,T20I # 1878
IND vs ENG,IND,2,Rohit Sharma,27,28,4,0,96.42,out,T20I # 1878
IND vs ENG,IND,3,Virat Kohli,50,40,4,1,125.00,out,T20I # 1878
IND vs ENG,IND,4,Suryakumar Yadav,14,10,1,1,140.00,out,T20I # 1878
IND vs ENG,IND,5,Hardik Pandya,63,33,4,5,190.90,out,T20I # 1878
IND vs ENG,IND,6,Rishabh Pant,6,4,1,0,150.00,out,T20I # 1878
IND vs ENG,IND,7,Ravichandran Ashwin,0,0,0,0,-,not_out,T20I # 1878
IND vs ENG,ENG,1,Jos Buttler,80,49,9,3,163.26,not_out,T20I # 1878
IND vs ENG,ENG,2,Alex Hales,86,47,4,7,182.97,not_out,T20I # 1878
NZ vs PAK,NZ,1,Finn Allen,4,3,1,0,133.33,out,T20I # 1877
NZ vs PAK,NZ,2,Devon Conway,21,20,3,0,105.00,out,T20I # 1877
NZ vs PAK,NZ,3,Kane Williamson,46,42,1,1,109.52,out,T20I # 1877
NZ vs PAK,NZ,4,Glenn Phillips,6,8,1,0,75.00,out,T20I # 1877
NZ vs PAK,NZ,5,Daryl Mitchell,53,35,3,1,151.42,not_out,T20I # 1877
NZ vs PAK,NZ,6,James Neesham,16,12,1,0,133.33,not_out,T20I # 1877
NZ vs PAK,PAK,1,Mohammad Rizwan,57,43,5,0,132.55,out,T20I # 1877
NZ vs PAK,PAK,2,Babar Azam,53,42,7,0,126.19,out,T20I # 1877
NZ vs PAK,PAK,3,Mohammad Haris,30,26,2,1,115.38,out,T20I # 1877
NZ vs PAK,PAK,4,Shan Masood,3,4,0,0,75.00,not_out,T20I # 1877
NZ vs PAK,PAK,5,Iftikhar Ahmed,0,0,0,0,-,not_out,T20I # 1877
IND vs ZIM,IND,1,KL Rahul,51,35,3,3,145.71,out,T20I # 1873
IND vs ZIM,IND,2,Rohit Sharma,15,13,2,0,115.38,out,T20I # 1873
IND vs ZIM,IND,3,Virat Kohli,26,25,2,0,104.00,out,T20I # 1873
IND vs ZIM,IND,4,Suryakumar Yadav,61,25,6,4,244.00,not_out,T20I # 1873
IND vs ZIM,IND,5,Rishabh Pant,3,5,0,0,60.00,out,T20I # 1873
